stock_code,trade_date,preclose,open,high,low,close,change,pctchange,volume,amount,adj_preclose,adj_open,adj_high,adj_low,adj_close,adj_factor,avgprice,tradestatus,tradestatuscode,limit,stopping,adjclose_backward,adj_volumne,adj_avgprice
600118.SH,19970908,5.28,12.07,12.4,11.8,12.12,6.84,129.5455,155333.0,187421.286,5.28,12.07,12.4,11.8,12.12,1.0,12.0658,交易,-1,,,0.7153,155333.0,12.0658
600118.SH,19970909,12.12,12.0,12.1,11.35,11.38,-0.74,-6.1056,51368.0,59832.822,12.12,12.0,12.1,11.35,11.38,1.0,11.6479,交易,-1,,,0.6716,51368.0,11.6479
600118.SH,19970910,11.38,11.36,11.69,11.21,11.65,0.27,2.3726,23410.0,26674.996,11.38,11.36,11.69,11.21,11.65,1.0,11.3947,交易,-1,,,0.6875,23410.0,11.3947
600118.SH,19970911,11.65,11.65,11.75,11.2,11.35,-0.3,-2.5751,14792.0,16996.427,11.65,11.65,11.75,11.2,11.35,1.0,11.4903,交易,-1,,,0.6698,14792.0,11.4903
600118.SH,19970912,11.35,11.42,11.95,11.25,11.75,0.4,3.5242,29571.0,34466.401,11.35,11.42,11.95,11.25,11.75,1.0,11.6555,交易,-1,,,0.6934,29571.0,11.6555
600118.SH,19970915,11.75,11.98,12.06,11.45,11.5,-0.25,-2.1277,20818.0,24299.099,11.75,11.98,12.06,11.45,11.5,1.0,11.6722,交易,-1,,,0.6787,20818.0,11.6722
600118.SH,19970916,11.5,11.6,11.7,11.25,11.45,-0.05,-0.4348,11161.0,12698.382,11.5,11.6,11.7,11.25,11.45,1.0,11.3775,交易,-1,,,0.6757,11161.0,11.3775
600118.SH,19970917,11.45,11.48,11.5,10.83,11.0,-0.45,-3.9301,9818.0,10913.465,11.45,11.48,11.5,10.83,11.0,1.0,11.1158,交易,-1,,,0.6492,9818.0,11.1158
600118.SH,19970918,11.0,10.95,11.35,10.92,11.08,0.08,0.7273,11541.0,12766.704,11.0,10.95,11.35,10.92,11.08,1.0,11.062,交易,-1,,,0.6539,11541.0,11.062
600118.SH,19970919,11.08,11.16,11.39,11.01,11.18,0.1,0.9025,9475.0,10621.719,11.08,11.16,11.39,11.01,11.18,1.0,11.2103,交易,-1,,,0.6598,9475.0,11.2103
600118.SH,19970922,11.18,11.45,11.45,10.3,10.38,-0.8,-7.1556,10655.0,11454.0,11.18,11.45,11.45,10.3,10.38,1.0,10.7499,交易,-1,,,0.6126,10655.0,10.7499
600118.SH,19970923,10.38,10.38,10.46,9.46,9.77,-0.61,-5.8767,14841.0,14803.113,10.38,10.38,10.46,9.46,9.77,1.0,9.9745,交易,-1,,,0.5766,14841.0,9.9745
600118.SH,19970924,9.77,10.19,10.36,9.82,10.27,0.5,5.1177,13633.0,13724.357,9.77,10.19,10.36,9.82,10.27,1.0,10.067,交易,-1,,,0.6061,13633.0,10.067
600118.SH,19970925,10.27,10.18,10.28,9.9,10.16,-0.11,-1.0711,10675.0,10788.866,10.27,10.18,10.28,9.9,10.16,1.0,10.1067,交易,-1,,,0.5996,10675.0,10.1067
600118.SH,19970926,10.16,10.25,10.48,9.88,10.36,0.2,1.9685,9537.0,9699.482,10.16,10.25,10.48,9.88,10.36,1.0,10.1704,交易,-1,,,0.6114,9537.0,10.1704
600118.SH,19970929,10.36,10.36,10.36,10.05,10.1,-0.26,-2.5097,7117.0,7242.346,10.36,10.36,10.36,10.05,10.1,1.0,10.1761,交易,-1,,,0.5961,7117.0,10.1761
600118.SH,19970930,10.1,10.1,10.58,10.1,10.35,0.25,2.4752,8390.0,8705.385,10.1,10.1,10.58,10.1,10.35,1.0,10.3759,交易,-1,,,0.6108,8390.0,10.3759
600118.SH,19971006,10.35,10.4,10.48,10.15,10.29,-0.06,-0.5797,4891.0,5048.328,10.35,10.4,10.48,10.15,10.29,1.0,10.3217,交易,-1,,,0.6073,4891.0,10.3217
600118.SH,19971007,10.29,10.28,10.3,9.95,10.14,-0.15,-1.4577,4090.0,4131.692,10.29,10.28,10.3,9.95,10.14,1.0,10.1019,交易,-1,,,0.5984,4090.0,10.1019
600118.SH,19971008,10.14,10.48,10.62,10.25,10.51,0.37,3.6489,7425.0,7758.661,10.14,10.48,10.62,10.25,10.51,1.0,10.4494,交易,-1,,,0.6203,7425.0,10.4494
600118.SH,19971009,10.51,10.54,10.69,10.28,10.3,-0.21,-1.9981,4818.0,5065.223,10.51,10.54,10.69,10.28,10.3,1.0,10.5131,交易,-1,,,0.6079,4818.0,10.5131
600118.SH,19971010,10.3,10.29,10.45,10.18,10.37,0.07,0.6796,4021.0,4153.798,10.3,10.29,10.45,10.18,10.37,1.0,10.3303,交易,-1,,,0.612,4021.0,10.3303
600118.SH,19971013,10.37,10.4,10.4,10.1,10.14,-0.23,-2.2179,3687.0,3774.253,10.37,10.4,10.4,10.1,10.14,1.0,10.2367,交易,-1,,,0.5984,3687.0,10.2367
600118.SH,19971014,10.14,10.1,10.17,9.94,10.17,0.03,0.2959,3189.0,3199.05,10.14,10.1,10.17,9.94,10.17,1.0,10.0315,交易,-1,,,0.6002,3189.0,10.0315
600118.SH,19971015,10.17,10.08,10.3,10.05,10.1,-0.07,-0.6883,1723.0,1748.67,10.17,10.08,10.3,10.05,10.1,1.0,10.149,交易,-1,,,0.5961,1723.0,10.149
600118.SH,19971016,10.1,10.4,10.57,10.2,10.52,0.42,4.1584,7993.0,8321.828,10.1,10.4,10.57,10.2,10.52,1.0,10.4114,交易,-1,,,0.6208,7993.0,10.4114
600118.SH,19971017,10.52,10.6,10.74,10.45,10.6,0.08,0.7605,10763.0,11396.399,10.52,10.6,10.74,10.45,10.6,1.0,10.5885,交易,-1,,,0.6256,10763.0,10.5885
600118.SH,19971020,10.6,10.7,10.84,10.5,10.7,0.1,0.9434,10130.0,10798.582,10.6,10.7,10.84,10.5,10.7,1.0,10.66,交易,-1,,,0.6315,10130.0,10.66
600118.SH,19971021,10.7,10.78,10.82,10.46,10.7,0.0,0.0,8320.0,8815.098,10.7,10.78,10.82,10.46,10.7,1.0,10.5951,交易,-1,,,0.6315,8320.0,10.5951
